         2145222 function calls in 1.592 seconds

   Ordered by: cumulative time
   List reduced from 162 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.004    0.000    1.592    0.106 game.py:516(run)
     3630    0.002    0.000    1.582    0.000 {built-in method builtins.next}
     3630    0.074    0.000    1.580    0.000 game.py:189(steps)
     3615    0.063    0.000    0.719    0.000 level.py:194(render)
   181482    0.223    0.000    0.529    0.000 visibleobject.py:77(render)
   197483    0.528    0.000    0.528    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     3615    0.025    0.000    0.195    0.000 level.py:142(update)
    35509    0.016    0.000    0.190    0.000 object.py:190(render)
   124682    0.030    0.000    0.161    0.000 tile.py:29(update)
   175614    0.117    0.000    0.149    0.000 visibleobject.py:49(update)
   183183    0.113    0.000    0.135    0.000 animation.py:34(update_and_get_image)
    33158    0.016    0.000    0.094    0.000 object.py:74(update)
    23560    0.024    0.000    0.066    0.000 spider.py:39(update)
     3615    0.016    0.000    0.063    0.000 game.py:30(render_gui)
     4019    0.010    0.000    0.061    0.000 object.py:109(check_collisions)
     3348    0.002    0.000    0.052    0.000 player.py:56(update)
     4019    0.021    0.000    0.051    0.000 level.py:252(collide)
      255    0.001    0.000    0.038    0.000 util.py:282(fade_to_black)
       15    0.002    0.000    0.034    0.002 level.py:34(__init__)
     3615    0.004    0.000    0.026    0.000 player.py:94(render)
     4631    0.003    0.000    0.026    0.000 blob.py:34(update)
    14974    0.018    0.000    0.024    0.000 level.py:244(ground_check)
    14200    0.012    0.000    0.022    0.000 particle.py:41(update)
    12814    0.021    0.000    0.021    0.000 {built-in method pygame.transform.rotate}
     4019    0.011    0.000    0.019    0.000 level.py:176(candidates)
     4875    0.005    0.000    0.018    0.000 animation.py:17(__init__)
     2011    0.001    0.000    0.017    0.000 level.py:362(add_tile)
    10303    0.016    0.000    0.016    0.000 {built-in method pygame.transform.flip}
   138949    0.016    0.000    0.016    0.000 {built-in method math.cos}
    10845    0.016    0.000    0.016    0.000 util.py:168(render_text)


